code,product_name,unit,stock,cost_price,mrp,purchase_price,sales_price,company,barcode
10027404,GILLETTE MACH3,PCS,2,0,400,360.36,380,HINDUSTAN UNILEVER LTD,49024309217944902430927193
10027405,GILLETTE MACH3,PCS,1,0,499,449.54,470,HINDUSTAN UNILEVER LTD,4902430921831
10028149,GILLETTE MACH3 2N,PCS,1,0,260,198.5,250,HINDUSTAN UNILEVER LTD,4902430921817
10023579,GILLETTE MACH3 RAZER,PACK,2,0,250,0,245,gillette india,4902430799096
10023121,GILLETTE MACH3 START 8 BLADE,PACK,2,0,720,0,680,P & G,4902430799195
10023578,Gillette PRESTO  3+1,PACK,43,0,20,0,20,gillette india,4902430839754
10021468,Gillette Reg shave crm,PACK,4,0,69,0,64,Procter & gamble,4902430785938
10025439,GILLETTE SHAVE BRUSH,PACK,8,0,54,0,50,P & G,7702018008599
10025729,GILLETTE SKIN GUARD,PACK,1,0,350,0,330,gillette india,7702018500611
10027663,GILLETTE SKINGURD,PCS,1,0,350,312.49,320,HINDUSTAN UNILEVER LTD,7702018500277
10026915,GILLETTE VECTOR+,PCS,1,0,65,55.14,62,HINDUSTAN UNILEVER LTD,4902430927239
10025270,GILLETTE VENUS BLADE 1P,PACK,1,0,220,0,200,Procter & gamble,4902430857611
10023646,GILLETTE VENUS BREEZE,PACK,1,0,299,0,265,P & G,4902430857628
10023581,GILLETTE WILKINSON 11N,PACK,15,0,25,0,20,gillette india,4902430853422
10028152,GILLETTE WILKINSON 5N,PCS,15,0,14,9.4,12,HINDUSTAN UNILEVER LTD,4902430786645
10027804,GILOY GHANVATI 60N,PCS,1,0,100,83.33,92,HINDUSTAN UNILEVER LTD,8904109420078
10026693,GINGER GARLIC PAST 100G,PCS,4,0,25,16.07,22,HINDUSTAN UNILEVER LTD,8903553838415
10019857,GINGER GARLIC PAST 30 M 5/-,PACK,45,0,5,0,5,GENERAL,8901595862658
10027091,GITANJALI 900g,PCS,3,0,65,34,45,HINDUSTAN UNILEVER LTD,8908006853229
10027825,GITS,PCS,12,0,10,8.5,10,HINDUSTAN UNILEVER LTD,8901155502222
10007048,GITS GULAB JAMUN 200G,PACK,5,0,99,0,95,RAJDHANI,8901155101210
10027709,GITS GULAB JAMUN 500GM,PCS,3,0,190,169.7,180,HINDUSTAN UNILEVER LTD,8901155101326
10027697,GLORI 100G*4CS=400G,PCS,5,0,64,56.9,62,HINDUSTAN UNILEVER LTD,8901331065015
10028284,GLOW & HANDSOME 100GM,PCS,2,0,75,64.77,70,HINDUSTAN UNILEVER LTD,8901030822155
10028285,GLOW & HANDSOME 9G,PCS,24,0,10,8.34,10,HINDUSTAN UNILEVER LTD,8901030822148
10028283,GLOW HANDSOME 50G,PCS,2,0,130,112.27,122,HINDUSTAN UNILEVER LTD,8901030822162
10026598,GLUCON-D 1Kg+NYCIL PODER,PCS,1,0,199,160,195,GENERAL,8901542000546
10026668,GLUCON-D 200+50G,PCS,1,0,57,48,55,HINDUSTAN UNILEVER LTD,8901542002052
10024299,GLUCON-D ORANGE 200gm,PACK,-1,0,64,0,62,heinz india,8901542006227
10024300,GLUCON-D ORANGE 450gm,PACK,2,0,160,0,150,heinz india,8901542001642
10023753,GLUCON-D REGULAR 250GM,PACK,2,0,57,0,55,HEINZ,8901542001697
10020993,GLUCON-D Regular 500GM,PACK,3,0,105,0,102,HEINZ,8901542001703
10016109,GLUCON-D Tangy Orange Flavour 75Gm,PACK,1,0,39,0,38,HEINZ,8901542017667
10028311,GLYCERIN 400g,PCS,2,0,150,82,110,HINDUSTAN UNILEVER LTD,GLYRIN82
10028315,GLYCRIN 50G,PCS,11,0,25,20,24,HINDUSTAN UNILEVER LTD,GLYRIN20
10026772,GODREJ,PCS,5,0,25,23,25,HINDUSTAN UNILEVER LTD,8901023022210
10025881,godrej black natural 20ml+20g,PCS,42,0,30,24,28,GODREJ,8901023019876
10025880,godrej burgundy hair colur 20g +20 ml,PCS,10,0,30,24,28,GODREJ,8901023019913
10025879,godrej dark brown hair colour 20g+20 ml,PCS,21,0,30,24,28,GODREJ,8901023019890
10025814,godrej n01 150 grams 3+1,PCS,7,0,102,71,85,GODREJ,8901023012235
10028094,GODREJ NO 1 252G,PCS,2,0,40,36.63,38,HINDUSTAN UNILEVER LTD,8901023024405
10028093,GODREJ NO 1 268G,PCS,2,0,40,30,38,HINDUSTAN UNILEVER LTD,8901023016103
10005783,Godrej No1 Alove 75*4gm 40/-,PACK,3,0,40,0,38,GODREJ,8901023011092
10000767,Godrej No1 Coconut Neem 100*4gm 68/-,PACK,5,0,72,0,70,GODREJ,8901023007415
10000768,Godrej No1 Jasmin Milk Cream 100*4gm,PACK,5,0,72,0,70,GODREJ,8901023007422
10005785,Godrej No1 Kesar 70*4gm 40/-,PACK,37,0,40,0,40,GODREJ,8901023009433
10000769,Godrej No1 Kesar Milk Cream 100*4gm,PACK,5,0,72,0,70,GODREJ,8901023009426
10005781,Godrej No1 Lavender 100*4gm,PACK,3,0,72,0,70,GODREJ,8901023007439
10013376,Godrej No1 Lavender 4*70gm 40/-,PACK,2,0,40,0,38,GODREJ,8901023005909
10005782,Godrej No1 Lime 70*4gm 40/-,PACK,3,0,40,0,38,GODREJ,8901023006869
10000770,Godrej No1 Lime Aloevera 100*4gm,PACK,2,0,72,0,70,GODREJ,8901023007477
10005780,Godrej No1 Rose 4*100gm,PACK,4,0,72,0,70,GODREJ,8901023007446
10005786,Godrej No1 Rose 70*4gm 40/-,PACK,3,0,40,0,40,GODREJ,8901023005879
10000772,Godrej No1 Sandal 100*4gm,PACK,-2,0,72,0,70,GODREJ,8901023007408
10005784,Godrej No1 Sandal 70*4gm 40/-,PACK,1,0,40,0,38,GODREJ,8901023005862
10025878,GodrejHairColour Natural Brwn 20ml+20gm,PCS,1,0,30,24,30,HINDUSTAN UNILEVER LTD,8901023019906
10025831,GOHNSONS BABY SHOAP 3+1,PCS,-1,0,165,110,140,JOHNSON & JOHNSON,710000000004158
10026135,GOLD SHAN-E-BHOPAL 1kg,PCS,16,0,140,80,95,TEMPTIN,8904232400008
10027988,GOLDEX GEL 5N,PCS,2,0,25,17,20,HINDUSTAN UNILEVER LTD,8904146802264
10028314,GOMITI 500GM,PCS,5,0,149,55,80,HINDUSTAN UNILEVER LTD,8907065104181
10026887,GOND 100Gm,PCS,-25,0,50,38,40,HINDUSTAN UNILEVER LTD,GOND38
